"species","seq_type","n_sequences","n_sources"
"Muraenesox cinereus","COI",53,3
"Muraenesox cinereus","genome",2,1
"Muraenesox cinereus","multiple",2,1
"Myersina filifer","12S",6,2
"Myersina filifer","COI",34,2
"Myersina filifer","genome",1,1
"Myersina filifer","multiple",3,1
"Mylopharyngodon piceus","12S",12,2
"Mylopharyngodon piceus","16S",1,1
"Mylopharyngodon piceus","COI",54,3
"Mylopharyngodon piceus","genome",32,1
"Myxocyprinus asiaticus","12S",3,2
"Myxocyprinus asiaticus","16S",1,1
"Myxocyprinus asiaticus","COI",74,3
"Myxocyprinus asiaticus","genome",3,1
"Myxocyprinus asiaticus","multiple",1,1
"Neosalanx anderssoni","12S",5,2
"Neosalanx anderssoni","16S",2,1
"Neosalanx anderssoni","COI",24,3
"Neosalanx anderssoni","multiple",1,1
"Neosalanx brevirostris","12S",1,1
"Neosalanx brevirostris","16S",1,1
"Neosalanx brevirostris","COI",7,2
"Neosalanx oligodontis","12S",1,1
"Neosalanx oligodontis","16S",1,1
"Neosalanx oligodontis","COI",31,3
"Neosalanx oligodontis","genome",1,1
"Neosalanx taihuensis","12S",3,2
"Neosalanx taihuensis","16S",3,1
"Neosalanx taihuensis","COI",65,2
"Neosalanx taihuensis","genome",3,1
"Neosalanx tangkahkeii","12S",2,2
"Neosalanx tangkahkeii","16S",1,1
"Neosalanx tangkahkeii","COI",30,3
"Neosalanx tangkahkeii","genome",1,1
"Nipponocypris temminckii","12S",8,2
"Nipponocypris temminckii","16S",3,1
"Nipponocypris temminckii","COI",64,4
"Nipponocypris temminckii","genome",1,1
"Nipponocypris temminckii","multiple",2,2
"Ochetobius elongatus","12S",2,2
"Ochetobius elongatus","COI",24,3
"Ochetobius elongatus","genome",1,1
"Odontamblyopus lacepedii","12S",4,2
"Odontamblyopus lacepedii","16S",1,1
"Odontamblyopus lacepedii","COI",50,4
"Odontamblyopus lacepedii","genome",1,1
"Odontamblyopus rubicundus","12S",3,2
"Odontamblyopus rubicundus","16S",4,1
"Odontamblyopus rubicundus","COI",31,4
"Odontamblyopus rubicundus","genome",1,1
"Odontobutis obscurus","12S",12,1
"Odontobutis obscurus","16S",5,1
"Odontobutis obscurus","COI",2,1
"Odontobutis obscurus","genome",1,1
"Odontobutis obscurus","multiple",18,1
"Odontobutis potamophilus","12S",7,2
"Odontobutis potamophilus","16S",13,1
"Odontobutis potamophilus","COI",9,3
"Odontobutis potamophilus","genome",3,1
"Odontobutis potamophilus","multiple",2,1
"Odontobutis sinensis","12S",4,2
"Odontobutis sinensis","COI",19,3
"Odontobutis sinensis","genome",3,1
"Oncorhynchus mykiss","12S",31,3
"Oncorhynchus mykiss","16S",22,1
"Oncorhynchus mykiss","COI",491,4
"Oncorhynchus mykiss","genome",29,2
"Oncorhynchus mykiss","multiple",63,1
"Onychostoma angustistomatum","16S",1,1
"Onychostoma monticola","12S",1,1
"Onychostoma monticola","16S",1,1
"Onychostoma monticola","COI",5,1
"Onychostoma monticola","genome",2,1
"Onychostoma monticola","multiple",4,1
"Onychostoma ovale","12S",2,2
"Onychostoma ovale","16S",1,1
"Onychostoma ovale","COI",6,3
"Onychostoma ovale","genome",2,1
"Onychostoma rarum","12S",1,1
"Onychostoma rarum","16S",1,1
"Onychostoma rarum","COI",9,3
"Onychostoma rarum","genome",1,1
"Onychostoma simum","12S",1,1
"Onychostoma simum","16S",1,1
"Onychostoma simum","COI",8,3
"Onychostoma simum","genome",1,1
"Onychostoma yunnanense","COI",14,1
"Onychostoma yunnanense","genome",3,1
"Onychostoma yunnanense","multiple",2,1
"Opsariichthys bidens","12S",2,1
"Opsariichthys bidens","16S",2,1
"Opsariichthys bidens","COI",223,3
"Opsariichthys bidens","genome",2,1
"Opsariichthys chengtui","genome",2,1
"Opsariichthys macrolepis","COI",29,1
"Opsariichthys uncirostris","12S",4,2
"Opsariichthys uncirostris","16S",3,2
"Opsariichthys uncirostris","COI",191,3
"Opsariichthys uncirostris","genome",2,2
"Opsariichthys uncirostris","multiple",2,2
"Oreochromis aureus","12S",3,2
"Oreochromis aureus","16S",5,1
"Oreochromis aureus","COI",113,3
"Oreochromis aureus","genome",2,1
"Oreochromis mossambicus","12S",6,2
"Oreochromis mossambicus","16S",10,1
"Oreochromis mossambicus","COI",206,4
"Oreochromis mossambicus","genome",3,2
"Oreochromis mossambicus","multiple",1,1
"Oreochromis niloticus","12S",22,2
"Oreochromis niloticus","16S",40,2
"Oreochromis niloticus","COI",965,4
"Oreochromis niloticus","genome",7,1
"Oreochromis niloticus","multiple",2,1
"Oryzias latipes","12S",38,2
"Oryzias latipes","16S",20,1
"Oryzias latipes","COI",638,4
"Oryzias latipes","genome",16,2
"Oryzias latipes","multiple",10,2
"Oryzias sinensis","12S",1,1
"Oryzias sinensis","COI",51,3
"Oryzias sinensis","genome",1,1
"Oxuderces dentatus","12S",3,2
"Oxuderces dentatus","16S",1,1
"Oxuderces dentatus","COI",14,3
"Oxuderces dentatus","genome",1,1
"Oxuderces dentatus","multiple",1,1
"Oxyeleotris marmorata","12S",8,2
"Oxyeleotris marmorata","16S",2,1
"Oxyeleotris marmorata","COI",133,4
"Oxyeleotris marmorata","genome",2,1
"Oxyeleotris marmorata","multiple",3,2
"Pampus argenteus","12S",5,2
"Pampus argenteus","16S",19,2
"Pampus argenteus","COI",499,4
"Pampus argenteus","genome",6,2
"Parabotia banarescui","12S",3,2
"Parabotia banarescui","COI",9,3
"Parabotia banarescui","genome",1,1
"Parabotia bimaculatus","12S",1,1
"Parabotia bimaculatus","COI",11,3
"Parabotia bimaculatus","genome",1,1
"Parabotia fasciatus","12S",2,1
"Parabotia fasciatus","COI",20,3
"Parabotia fasciatus","genome",2,1
"Parabotia kiangsiensis","12S",1,1
"Parabotia kiangsiensis","COI",2,2
"Parabotia kiangsiensis","genome",1,1
"Parabramis pekinensis","12S",1,1
"Parabramis pekinensis","COI",40,3
"Parabramis pekinensis","genome",4,2
"Paracanthobrama guichenoti","12S",2,1
"Paracanthobrama guichenoti","COI",8,3
"Paracanthobrama guichenoti","genome",2,1
"Parachromis managuensis","12S",3,3
"Parachromis managuensis","16S",5,2
"Parachromis managuensis","COI",23,4
"Parachromis managuensis","genome",1,1
"Parachromis managuensis","multiple",1,1
"Paraqianlabeo lineatus","12S",2,2
"Paraqianlabeo lineatus","16S",1,1
"Paraqianlabeo lineatus","COI",12,3
"Paraqianlabeo lineatus","genome",1,1
"Parasinilabeo maculatus","12S",1,1
"Parasinilabeo maculatus","16S",1,1
"Parasinilabeo maculatus","COI",1,1
"Parastromateus niger","12S",8,2
"Parastromateus niger","16S",6,1
"Parastromateus niger","COI",148,4
"Parastromateus niger","multiple",3,1
"Paratanakia chii","12S",1,1
"Paratanakia chii","COI",1,1
"Paratanakia chii","genome",1,1
"Paratanakia himantegus","12S",1,1
"Paratanakia himantegus","COI",5,2
"Paratanakia himantegus","genome",3,1
"Perca fluviatilis","12S",16,2
"Perca fluviatilis","16S",29,1
"Perca fluviatilis","COI",205,4
"Perca fluviatilis","genome",8,1
"Perca fluviatilis","multiple",22,1
"Percocypris pingi","12S",2,2
"Percocypris pingi","16S",2,1
"Percocypris pingi","COI",44,3
"Percocypris pingi","genome",1,1
"Percocypris regani","16S",6,1
"Percocypris regani","COI",4,1
"Periophthalmus magnuspinnatus","12S",3,2
"Periophthalmus magnuspinnatus","COI",342,3
"Periophthalmus magnuspinnatus","genome",2,1
"Periophthalmus modestus","12S",7,3
"Periophthalmus modestus","16S",1,1
"Periophthalmus modestus","COI",237,4
"Periophthalmus modestus","genome",1,1
"Periophthalmus modestus","multiple",2,1
"Phractocephalus hemioliopterus","12S",4,2
"Phractocephalus hemioliopterus","16S",1,1
"Phractocephalus hemioliopterus","COI",19,4
"Phractocephalus hemioliopterus","genome",1,1
"Phractocephalus hemioliopterus","multiple",2,1
"Piaractus brachypomus","12S",5,1
"Piaractus brachypomus","16S",3,1
"Piaractus brachypomus","COI",164,4
"Piaractus brachypomus","genome",1,1
"Plagiognathops microlepis","12S",3,1
"Plagiognathops microlepis","COI",23,3
"Plagiognathops microlepis","genome",3,1
"Planiliza carinata","COI",12,2
"Planiliza carinata","genome",1,1
"Planiliza haematocheilus","12S",6,2
"Planiliza haematocheilus","16S",8,1
"Planiliza haematocheilus","COI",144,3
"Planiliza haematocheilus","genome",2,1
"Planiliza haematocheilus","multiple",1,1
"Platycephalus indicus","12S",6,2
"Platycephalus indicus","16S",7,1
"Platycephalus indicus","COI",149,4
"Platycephalus indicus","genome",2,2
"Platycephalus indicus","multiple",2,2
"Platysmacheilus exiguus","12S",1,1
"Platysmacheilus exiguus","COI",6,3
"Platysmacheilus exiguus","genome",2,1
"Platysmacheilus longibarbatus","12S",2,1
"Platysmacheilus longibarbatus","COI",3,2
"Platysmacheilus longibarbatus","genome",2,1
"Platysmacheilus obtusirostris","COI",2,1
"Plecoglossus altivelis","12S",13,3
"Plecoglossus altivelis","16S",4,1
"Plecoglossus altivelis","COI",58,4
"Plecoglossus altivelis","genome",6,1
"Plecoglossus altivelis","multiple",1,1
"Poecilia reticulata","12S",8,2
"Poecilia reticulata","16S",12,1
"Poecilia reticulata","COI",421,4
"Poecilia reticulata","genome",3,1
"Poecilia reticulata","multiple",2,1
"Poecilia velifera","12S",2,1
"Poecilia velifera","COI",15,2
"Poecilia velifera","multiple",2,1
"Polyodon spathula","12S",6,2
"Polyodon spathula","16S",3,1
"Polyodon spathula","COI",31,3
"Polyodon spathula","genome",5,1
"Prochilodus lineatus","12S",4,2
"Prochilodus lineatus","16S",6,1
"Prochilodus lineatus","COI",249,3
"Prochilodus lineatus","genome",3,1
"Procypris rabaudi","12S",2,1
"Procypris rabaudi","16S",2,1
"Procypris rabaudi","COI",91,2
"Procypris rabaudi","genome",2,2
"Protosalanx chinensis","12S",11,2
"Protosalanx chinensis","16S",9,1
"Protosalanx chinensis","COI",45,4
"Protosalanx chinensis","genome",3,2
"Psephurus gladius","12S",3,2
"Psephurus gladius","16S",2,1
"Psephurus gladius","COI",6,2
"Psephurus gladius","genome",1,1
"Pseudobrama simoni","12S",1,1
"Pseudobrama simoni","COI",15,3
"Pseudobrama simoni","genome",2,1
"Pseudogobio vaillanti","12S",3,2
"Pseudogobio vaillanti","COI",32,3
"Pseudogobio vaillanti","genome",2,1
"Pseudogyrinocheilus prochilus","12S",2,2
"Pseudogyrinocheilus prochilus","16S",4,2
"Pseudogyrinocheilus prochilus","COI",35,4
"Pseudogyrinocheilus prochilus","genome",1,1
"Pseudohemiculter dispar","12S",1,1
"Pseudohemiculter dispar","COI",62,4
"Pseudohemiculter dispar","genome",1,1
"Pseudohemiculter hainanensis","12S",1,1
"Pseudohemiculter hainanensis","COI",13,4
"Pseudohemiculter hainanensis","genome",1,1
"Pseudohemiculter kweichowensis","COI",1,1
"Pseudolaubuca engraulis","12S",1,1
"Pseudolaubuca engraulis","COI",43,3
"Pseudolaubuca engraulis","genome",1,1
"Pseudolaubuca sinensis","12S",3,2
"Pseudolaubuca sinensis","16S",1,1
"Pseudolaubuca sinensis","COI",43,3
"Pseudolaubuca sinensis","genome",2,1
"Pseudorasbora elongata","12S",3,2
"Pseudorasbora elongata","COI",11,3
"Pseudorasbora elongata","genome",2,1
"Pseudorasbora parva","12S",16,3
"Pseudorasbora parva","16S",34,1
"Pseudorasbora parva","COI",402,4
"Pseudorasbora parva","genome",2,1
"Pseudorasbora parva","multiple",1,1
"Pterygoplichthys disjunctivus","12S",2,2
"Pterygoplichthys disjunctivus","16S",11,1
"Pterygoplichthys disjunctivus","COI",29,3
"Pterygoplichthys disjunctivus","genome",1,1
"Pterygoplichthys multiradiatus","16S",2,1
"Pterygoplichthys multiradiatus","COI",6,1
"Ptychobarbus chungtienensis","12S",2,2
"Ptychobarbus chungtienensis","16S",1,1
"Ptychobarbus chungtienensis","COI",12,4
"Ptychobarbus chungtienensis","genome",2,1
"Ptychobarbus kaznakovi","12S",2,1
"Ptychobarbus kaznakovi","16S",3,1
"Ptychobarbus kaznakovi","COI",47,3
"Ptychobarbus kaznakovi","genome",4,1
"Pygocentrus nattereri","12S",3,2
"Pygocentrus nattereri","16S",7,1
"Pygocentrus nattereri","COI",125,3
"Pygocentrus nattereri","genome",1,1
"Rectoris luxiensis","12S",2,2
"Rectoris luxiensis","16S",2,2
"Rectoris luxiensis","COI",4,3
"Rectoris luxiensis","genome",1,1
"Rhinogobio cylindricus","12S",3,1
"Rhinogobio cylindricus","COI",22,3
"Rhinogobio cylindricus","genome",3,1
"Rhinogobio hunanensis","COI",3,1
"Rhinogobio typus","12S",4,2
"Rhinogobio typus","COI",12,3
"Rhinogobio typus","genome",3,1
"Rhinogobio ventralis","12S",2,1
"Rhinogobio ventralis","COI",12,3
"Rhinogobio ventralis","genome",2,1
"Rhinogobius brunneus","12S",14,3
"Rhinogobius brunneus","COI",101,4
"Rhinogobius brunneus","genome",4,2
"Rhinogobius brunneus","multiple",4,2
"Rhinogobius changtinensis","12S",1,1
"Rhinogobius changtinensis","COI",4,2
"Rhinogobius changtinensis","genome",1,1
"Rhinogobius cliffordpopei","12S",5,2
"Rhinogobius cliffordpopei","COI",18,3
"Rhinogobius cliffordpopei","genome",4,1
"Rhinogobius shennongensis","12S",1,1
"Rhinogobius shennongensis","COI",1,1
"Rhinogobius shennongensis","genome",2,1
"Rhinogobius similis","12S",13,2
"Rhinogobius similis","COI",186,4
"Rhinogobius similis","genome",6,1
"Rhinogobius similis","multiple",3,2
"Rhinogobius szechuanensis","12S",2,1
"Rhinogobius szechuanensis","COI",1,1
"Rhinogobius szechuanensis","genome",1,1
"Rhinogobius szechuanensis","multiple",2,2
"Rhodeus albomarginatus","12S",1,1
"Rhodeus albomarginatus","COI",1,1
"Rhodeus albomarginatus","genome",1,1
"Rhodeus fangi","12S",1,1
"Rhodeus fangi","COI",15,3
"Rhodeus fangi","genome",1,1
"Rhodeus lighti","12S",1,1
"Rhodeus lighti","COI",14,3
"Rhodeus lighti","genome",1,1
"Rhodeus ocellatus","12S",11,2
"Rhodeus ocellatus","16S",10,1
"Rhodeus ocellatus","COI",165,4
"Rhodeus ocellatus","genome",4,2
"Rhodeus ocellatus","multiple",1,1
"Rhodeus sinensis","12S",2,2
"Rhodeus sinensis","COI",66,3
"Rhodeus sinensis","genome",1,1
"Rhodeus sinensis","multiple",2,1
"Rhynchocypris lagowskii","12S",4,2
"Rhynchocypris lagowskii","16S",32,1
"Rhynchocypris lagowskii","COI",151,3
"Rhynchocypris lagowskii","genome",4,1
"Rhynchocypris oxycephalus","12S",6,1
"Rhynchocypris oxycephalus","16S",56,1
"Rhynchocypris oxycephalus","COI",123,3
"Rhynchocypris oxycephalus","genome",4,1
"Salanx ariakensis","12S",4,2
"Salanx ariakensis","16S",5,1
"Salanx ariakensis","COI",110,3
"Salanx ariakensis","genome",2,1
"Salanx prognathus","COI",2,1
"Sander lucioperca","12S",5,2
"Sander lucioperca","16S",5,1
"Sander lucioperca","COI",103,4
"Sander lucioperca","genome",2,1
"Sander lucioperca","multiple",2,1
"Sarcocheilichthys davidi","12S",1,1
"Sarcocheilichthys davidi","COI",10,3
"Sarcocheilichthys davidi","genome",1,1
"Sarcocheilichthys kiangsiensis","12S",2,1
"Sarcocheilichthys kiangsiensis","COI",6,2
"Sarcocheilichthys kiangsiensis","genome",2,1
"Sarcocheilichthys nigripinnis","12S",4,3
"Sarcocheilichthys nigripinnis","COI",54,4
"Sarcocheilichthys nigripinnis","genome",2,1
"Sarcocheilichthys parvus","12S",3,1
"Sarcocheilichthys parvus","COI",116,3
"Sarcocheilichthys parvus","genome",4,1
"Sarcocheilichthys sinensis","12S",5,1
"Sarcocheilichthys sinensis","COI",77,3
"Sarcocheilichthys sinensis","genome",7,2
"Sarcocheilichthys vittatus","12S",1,1
"Sarcocheilichthys vittatus","COI",1,1
"Sarcocheilichthys vittatus","genome",1,1
"Saurogobio dabryi","12S",5,2
"Saurogobio dabryi","COI",136,3
"Saurogobio dabryi","genome",4,1
"Saurogobio dumerili","12S",1,1
"Saurogobio dumerili","COI",11,3
"Saurogobio dumerili","genome",1,1
"Saurogobio gracilicaudatus","12S",2,2
"Saurogobio gracilicaudatus","COI",11,2
"Saurogobio gracilicaudatus","genome",1,1
"Saurogobio gymnocheilus","12S",1,1
"Saurogobio gymnocheilus","COI",13,1
"Saurogobio gymnocheilus","genome",1,1
"Saurogobio lissilabris","12S",1,1
"Saurogobio lissilabris","COI",4,2
"Saurogobio lissilabris","genome",1,1
"Saurogobio punctatus","12S",2,1
"Saurogobio punctatus","COI",2,1
"Saurogobio punctatus","genome",2,2
"Saurogobio xiangjiangensis","12S",1,1
"Saurogobio xiangjiangensis","COI",7,1
"Saurogobio xiangjiangensis","genome",1,1
"Scaphesthes barbatula","16S",1,1
"Scaphesthes barbatula","COI",25,1
"Scaphesthes barbatula","genome",2,1
"Scaphesthes barbatula","multiple",2,1
"Scaphesthes minnanensis","COI",8,1
"Scartelaos histophorus","12S",2,1
"Scartelaos histophorus","16S",1,1
"Scartelaos histophorus","COI",72,3
"Scartelaos histophorus","genome",1,1
"Scartelaos histophorus","multiple",2,1
"Schistura fasciolata","12S",5,2
"Schistura fasciolata","16S",2,1
"Schistura fasciolata","COI",53,3
"Schistura fasciolata","genome",5,1
"Schistura huapingensis","COI",2,1
"Schistura incerta","12S",1,1
"Schistura incerta","COI",1,1
"Schistura incerta","genome",1,1
"Schistura waltoni","COI",1,1
"Schizopygopsis chengi","16S",3,1
"Schizopygopsis chengi","COI",3,1
"Schizopygopsis chengi","genome",1,1
"Schizopygopsis eckloni","12S",4,1
"Schizopygopsis eckloni","16S",21,2
"Schizopygopsis eckloni","COI",176,4
"Schizopygopsis eckloni","genome",8,2
"Schizopygopsis firmispinata","12S",1,1
"Schizopygopsis firmispinata","COI",3,2
"Schizopygopsis kialingensis","12S",2,1
"Schizopygopsis kialingensis","16S",3,1
"Schizopygopsis kialingensis","COI",29,2
"Schizopygopsis kialingensis","genome",1,1
"Schizopygopsis malacanthus","12S",3,2
"Schizopygopsis malacanthus","16S",3,2
"Schizopygopsis malacanthus","COI",216,3
"Schizopygopsis malacanthus","genome",4,2
"Schizopygopsis microcephala","16S",5,1
"Schizopygopsis microcephala","COI",7,1
"Schizopygopsis microcephala","genome",2,1
"Schizopygopsis potanini","12S",1,1
"Schizopygopsis potanini","16S",5,1
"Schizopygopsis potanini","COI",75,2
"Schizopygopsis potanini","genome",1,1
"Schizothorax chongi","12S",1,1
"Schizothorax chongi","16S",1,1
"Schizothorax chongi","COI",15,2
"Schizothorax chongi","genome",1,1
"Schizothorax cryptolepis","16S",1,1
"Schizothorax cryptolepis","COI",3,1
"Schizothorax davidi","16S",1,1
"Schizothorax davidi","COI",12,3
"Schizothorax davidi","genome",1,1
"Schizothorax dolichonema","16S",1,1
"Schizothorax dolichonema","COI",11,2
"Schizothorax dolichonema","genome",2,1
"Schizothorax grahami","16S",2,1
"Schizothorax grahami","COI",13,3
"Schizothorax grahami","genome",1,1
"Schizothorax griseus","12S",1,1
"Schizothorax griseus","COI",15,1
"Schizothorax griseus","genome",1,1
"Schizothorax kozlovi","12S",2,1
"Schizothorax kozlovi","16S",1,1
"Schizothorax kozlovi","COI",71,3
"Schizothorax kozlovi","genome",3,1
"Schizothorax labrosus","16S",1,1
"Schizothorax labrosus","COI",1,1
"Schizothorax longibarbus","COI",2,2
"Schizothorax prenanti","12S",2,1
"Schizothorax prenanti","16S",2,1
"Schizothorax prenanti","COI",98,2
"Schizothorax prenanti","genome",1,1
"Schizothorax sinensis","12S",1,1
"Schizothorax sinensis","COI",9,2
"Schizothorax sinensis","genome",1,1
"Schizothorax wangchiachii","12S",1,1
"Schizothorax wangchiachii","16S",1,1
"Schizothorax wangchiachii","COI",25,1
"Schizothorax wangchiachii","genome",2,1
"Schizothorax yunnanensis","16S",2,1
"Schizothorax yunnanensis","COI",6,2
"Schizothorax yunnanensis","genome",2,1
"Scortum barcoo","12S",3,2
"Scortum barcoo","COI",27,3
"Scortum barcoo","genome",1,1
"Semilabeo notabilis","12S",1,1
"Semilabeo notabilis","16S",2,1
"Semilabeo notabilis","COI",6,2
"Semilabeo notabilis","genome",1,1
"Silurus asotus","12S",24,2
"Silurus asotus","16S",21,1
"Silurus asotus","COI",138,3
"Silurus asotus","genome",49,1
"Silurus asotus","multiple",1,1
"Silurus glanis","12S",3,1
"Silurus glanis","16S",3,1
"Silurus glanis","COI",51,4
"Silurus glanis","genome",12,1
"Silurus meridionalis","12S",5,2
"Silurus meridionalis","COI",27,3
"Silurus meridionalis","genome",10,1
"Sinibotia reevesae","12S",1,1
"Sinibotia reevesae","COI",17,2
"Sinibotia reevesae","genome",1,1
"Sinibotia superciliaris","12S",2,1
"Sinibotia superciliaris","COI",39,3
"Sinibotia superciliaris","genome",5,1
"Sinibrama longianalis","12S",1,1
"Sinibrama longianalis","16S",1,1
"Sinibrama longianalis","COI",1,1
"Sinibrama macrops","12S",1,1
"Sinibrama macrops","COI",41,3
"Sinibrama macrops","genome",3,1
"Sinibrama taeniatus","12S",1,1
"Sinibrama taeniatus","COI",9,3
"Sinibrama taeniatus","genome",1,1
"Sinibrama wui","12S",1,1
"Sinibrama wui","COI",7,2
"Sinibrama wui","genome",1,1
"Siniichthys bleekeri","12S",2,1
"Siniichthys bleekeri","16S",1,1
"Siniichthys bleekeri","COI",92,3
"Siniichthys bleekeri","genome",3,2
"Sinilabeo longibarbatus","12S",1,1
"Sinilabeo longibarbatus","16S",1,1
"Sinilabeo longibarbatus","COI",1,1
"Siniperca chuatsi","12S",5,2
"Siniperca chuatsi","16S",4,1
"Siniperca chuatsi","COI",47,3
"Siniperca chuatsi","genome",1,1
"Siniperca chuatsi","multiple",4,1
"Siniperca knerii","12S",3,2
"Siniperca knerii","16S",1,1
"Siniperca knerii","COI",55,3
"Siniperca knerii","genome",2,1
"Siniperca loona","12S",1,1
"Siniperca loona","COI",1,1
"Siniperca loona","genome",1,1
"Siniperca obscura","12S",2,2
"Siniperca obscura","16S",1,1
"Siniperca obscura","COI",7,3
"Siniperca obscura","genome",1,1
"Siniperca roulei","12S",3,2
"Siniperca roulei","16S",2,1
"Siniperca roulei","COI",8,3
"Siniperca roulei","genome",2,1
"Siniperca scherzeri","12S",10,2
"Siniperca scherzeri","16S",2,1
"Siniperca scherzeri","COI",194,3
"Siniperca scherzeri","genome",6,1
"Siniperca undulata","12S",3,2
"Siniperca undulata","16S",2,1
"Siniperca undulata","COI",10,3
"Siniperca undulata","genome",2,1
"Sinobdella sinensis","12S",2,1
"Sinobdella sinensis","COI",57,4
"Sinobdella sinensis","genome",2,1
"Sinocrossocheilus guizhouensis","12S",1,1
"Sinocrossocheilus guizhouensis","16S",1,1
"Sinocrossocheilus guizhouensis","COI",2,2
"Sinocrossocheilus labiatus","12S",2,2
"Sinocrossocheilus labiatus","16S",2,2
"Sinocrossocheilus labiatus","COI",4,4
"Sinocrossocheilus labiatus","genome",1,1
"Sinocyclocheilus grahami","12S",1,1
"Sinocyclocheilus grahami","16S",1,1
"Sinocyclocheilus grahami","COI",9,3
"Sinocyclocheilus grahami","genome",1,1
"Sinocyclocheilus huizeensis","12S",1,1
"Sinocyclocheilus huizeensis","COI",2,1
"Sinocyclocheilus huizeensis","genome",2,1
"Sinocyclocheilus multipunctatus","12S",1,1
"Sinocyclocheilus multipunctatus","COI",3,2
"Sinocyclocheilus multipunctatus","genome",1,1
"Sinocyclocheilus wumengshanensis","12S",1,1
"Sinocyclocheilus wumengshanensis","COI",2,2
"Sinocyclocheilus wumengshanensis","genome",1,1
"Sinogastromyzon hsiashiensis","12S",1,1
"Sinogastromyzon hsiashiensis","COI",7,3
"Sinogastromyzon hsiashiensis","genome",1,1
"Sinogastromyzon sichangensis","12S",1,1
"Sinogastromyzon sichangensis","COI",21,4
"Sinogastromyzon sichangensis","genome",1,1
"Sinogastromyzon szechuanensis","12S",3,1
"Sinogastromyzon szechuanensis","COI",12,4
"Sinogastromyzon szechuanensis","genome",4,1
"Sinorhodeus microlepis","12S",3,2
"Sinorhodeus microlepis","COI",2,1
"Sinorhodeus microlepis","genome",2,1
"Sinosturio dabryanus","12S",1,1
"Sinosturio dabryanus","COI",14,3
"Sinosturio dabryanus","genome",4,1
"Sinosturio schrenckii","12S",7,2
"Sinosturio schrenckii","16S",2,1
"Sinosturio schrenckii","COI",51,3
"Sinosturio schrenckii","genome",13,1
"Sinosturio sinensis","12S",9,2
"Sinosturio sinensis","16S",2,1
"Sinosturio sinensis","COI",25,3
"Sinosturio sinensis","genome",11,1
"Spinibarbus caldwelli","12S",3,1
"Spinibarbus caldwelli","16S",2,1
"Spinibarbus caldwelli","COI",17,3
"Spinibarbus caldwelli","genome",4,2
"Spinibarbus hollandi","12S",4,2
"Spinibarbus hollandi","16S",2,1
"Spinibarbus hollandi","COI",13,3
"Spinibarbus hollandi","genome",4,2
"Spinibarbus sinensis","12S",2,1
"Spinibarbus sinensis","16S",1,1
"Spinibarbus sinensis","COI",25,3
"Spinibarbus sinensis","genome",3,2
"Squalidus argentatus","12S",4,2
"Squalidus argentatus","COI",229,3
"Squalidus argentatus","genome",3,1
"Squalidus argentatus|Squalidus nitens","COI",1,1
"Squalidus nitens","12S",1,1
"Squalidus nitens","COI",1,1
"Squalidus nitens","genome",1,1
"Squalidus wolterstorffi","12S",1,1
"Squalidus wolterstorffi","COI",11,3
"Squalidus wolterstorffi","genome",1,1
"Squaliobarbus curriculus","12S",4,1
"Squaliobarbus curriculus","16S",2,1
"Squaliobarbus curriculus","COI",77,3
"Squaliobarbus curriculus","genome",5,1
"Strongylura anastomella","12S",2,1
"Strongylura anastomella","16S",2,1
"Strongylura anastomella","COI",13,3
"Strongylura anastomella","genome",1,1
"Strongylura anastomella","multiple",1,1
"Tachysurus adiposalis","COI",21,2
"Tachysurus albomarginatus","12S",1,1
"Tachysurus albomarginatus","COI",29,3
"Tachysurus albomarginatus","genome",1,1
"Tachysurus analis","COI",1,1
"Tachysurus argentivittatus","12S",2,1
"Tachysurus argentivittatus","COI",18,2
"Tachysurus argentivittatus","genome",2,1
"Tachysurus brachyrhabdion","12S",1,1
"Tachysurus brachyrhabdion","COI",8,2
"Tachysurus brachyrhabdion","genome",1,1
"Tachysurus brevicaudatus","COI",9,2
"Tachysurus brevicaudatus","genome",1,1
"Tachysurus crassilabris","12S",2,1
"Tachysurus crassilabris","16S",1,1
"Tachysurus crassilabris","COI",13,3
"Tachysurus crassilabris","genome",2,1
"Tachysurus eupogon","12S",2,1
"Tachysurus eupogon","COI",24,3
"Tachysurus eupogon","genome",2,1
"Tachysurus medianalis","COI",3,1
"Tachysurus medianalis","genome",1,1
"Tachysurus nitidus","12S",3,1
"Tachysurus nitidus","16S",1,1
"Tachysurus nitidus","COI",59,3
"Tachysurus nitidus","genome",3,1
"Tachysurus pratti","COI",4,2
"Tachysurus pratti","genome",1,1
"Tachysurus sinensis","COI",3,1
"Tachysurus taeniatus","COI",14,1
"Tachysurus taeniatus","genome",3,1
"Tachysurus tenuis","COI",3,3
"Tachysurus tenuis","genome",1,1
"Tachysurus truncatus","COI",8,2
"Tachysurus truncatus","genome",1,1
"Tachysurus ussuriensis","12S",6,2
"Tachysurus ussuriensis","16S",2,1
"Tachysurus ussuriensis","COI",33,3
"Tachysurus ussuriensis","genome",4,2
"Tachysurus ussuriensis","multiple",2,1
"Tachysurus vachellii","12S",5,1
"Tachysurus vachellii","16S",1,1
"Tachysurus vachellii","COI",149,3
"Tachysurus vachellii","genome",5,1
"Taenioides cirratus","12S",7,1
"Taenioides cirratus","COI",115,4
"Taenioides cirratus","genome",11,1
"Takifugu alboplumbeus","12S",7,2
"Takifugu alboplumbeus","16S",5,2
