species,marker,n_sequences,max_intra,min_inter,gap_exists,gap_width,p_overlap,q_overlap,median_intra,median_inter,intra_95,inter_5,percentile_gap,robust_gap,n_congeners_in_db,min_congeneric,congeneric_gap,congeneric_p_overlap,congeneric_q_overlap,n_diagnostic_sites,sampling_adequacy,taxonomic_resolution,gap_may_be_undersampling_artifact,error_msg,assignment_risk,recommended_threshold
Ancherythroculter nigrocauda,COI,132,0.1885874067937034,0.002071251035625518,FALSE,-0.18651615575807787,0.8728,0.9244,0.006731565865782933,0.14032725766362883,0.18030240265120132,0.03417564208782104,-0.14612676056338028,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Anguilla japonica,COI,110,0.1795774647887324,0.0022783761391880694,FALSE,-0.17729908864954433,0.8374,0.9668,0.08989229494614748,0.09393123446561723,0.1765741507870754,0.017294946147473074,-0.15927920463960232,FALSE,1,0.0022783761391880694,-0.17729908864954433,0.8374,0.9772,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Anguilla marmorata,COI,230,0.1877589063794532,0.0031068765534382767,FALSE,-0.18465202982601492,0.9089,0.9868,0.08906379453189726,0.09672742336371168,0.171841342170671,0.017294946147473074,-0.15454639602319795,FALSE,1,0.0022783761391880694,-0.18548053024026512,0.9245,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Angustistoma barbatum,COI,14,0.1056338028169014,0.0016570008285004142,FALSE,-0.103976801988401,0.7802,0.6926,0.025579950289975145,0.09382767191383595,0.10392502071251036,0.016777133388566696,-0.08714788732394367,FALSE,1,0.0016570008285004142,-0.103976801988401,0.7802,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Angustistoma macrolepis,COI,5,0.005385252692626346,0.005903065451532726,TRUE,5.178127589063799e-4,0,0,0.004919221209610605,0.08398922949461475,0.005292046396023198,0.014498757249378625,0.009206710853355428,TRUE,1,0.0016570008285004142,-0.003728251864125932,0.6,0.2571,0,low,species,TRUE,NA,moderate,0.97
Aphyocypris chinensis,COI,11,0.17781690140845072,0.009424192212096106,FALSE,-0.1683927091963546,0.8545,0.9029,0.1275890637945319,0.112986743993372,0.17760977630488814,0.024544324772162385,-0.15306545153272574,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Barbatula nuda,COI,67,0.17937033968516986,0.011391880695940349,FALSE,-0.1679784589892295,0.7173,0.9781,0.08305716652858326,0.08823529411764706,0.17874896437448218,0.016673570836785417,-0.16207539353769676,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Barbonymus gonionotus,COI,97,0.17626346313173158,0,FALSE,-0.17626346313173158,1,0.9867,0.016932477216238608,0.09341342170671085,0.11806130903065451,0.014291632145816073,-0.10376967688483843,FALSE,1,0,-0.17626346313173158,1,0.9999,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Barbonymus schwanefeldii,COI,69,0.17595277547638774,0,FALSE,-0.17595277547638774,1,0.9565,0.08533554266777134,0.10335542667771334,0.14374482187241094,0.014913007456503728,-0.12883181441590721,FALSE,1,0,-0.17595277547638774,1,0.9997,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Beaufortia szechuanensis,COI,10,0.17854183927091963,0.010770505385252692,FALSE,-0.16777133388566692,0.7333,0.9298,0.10853355426677713,0.10874067937033968,0.17839685169842587,0.0231980115990058,-0.15519884009942006,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Belligobio nummifer,COI,11,0.2555923777961889,0.00579950289975145,FALSE,-0.24979287489643742,0.9636,0.9958,0.16166114333057166,0.11754349627174814,0.21022162386081192,0.025787075393537695,-0.18443454846727422,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Bidyanus bidyanus,COI,8,0.1735708367854184,0.007042253521126761,FALSE,-0.16652858326429165,0.75,0.8298,0.0998860811930406,0.10760149130074564,0.17346209610604807,0.016777133388566696,-0.15668496271748136,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Boleophthalmus pectinirostris,COI,373,0.22535211267605634,0.007456503728251864,FALSE,-0.2178956089478045,0.5576,0.9989,0.07342584921292461,0.10780861640430821,0.17719552609776304,0.022576636288318144,-0.15461888980944488,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Bostrychus sinensis,COI,225,0.2112676056338028,0.009942004971002486,FALSE,-0.20132560066280034,0.5817,0.9974,0.029515327257663627,0.10801574150787076,0.17874896437448218,0.02899751449875725,-0.14975144987572492,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Brachymystax lenok,COI,91,0.2628417564208782,0.007249378624689312,FALSE,-0.2555923777961889,0.8286,0.9997,0.14488400994200498,0.1185791217895609,0.20961060480530241,0.03251864125932063,-0.17709196354598178,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
